Country_Code,Country_Name,Value
IOT,British Indian Ocean Territory (UK),2522.75
IRL,Ireland,1117.72
IRN,"Iran, Islamic Rep.",233.08
IRQ,Iraq,148.92
QAT,Qatar,27.81
ROU,Romania,660.33
RUS,Russian Federation,598.08
BFA,Burkina Faso,635.3
BGD,Bangladesh,1755.35
BGR,Bulgaria,581.45
AND,Andorra,887.19
ARE,United Arab Emirates,34.66
ARG,Argentina,540.57
ARM,Armenia,697.7
DZA,Algeria,42.63
ECU,Ecuador,2894.95
EGY,"Egypt, Arab Rep.",10.79
ERI,Eritrea,250.36
URY,Uruguay,928.73
USA,United States,794.64
UZB,Uzbekistan,239.9
VAT,Holy See (Vatican City State),679.89
OMN,Oman,78.52
PAK,Pakistan,556.51
PAN,Panama,3497.29
PCN,Pitcairn,1260.44
KAZ,Kazakhstan,312.25
KEN,Kenya,423.31
KGZ,Kyrgyz Republic,944.91
RWA,Rwanda,1597.44
SAU,Saudi Arabia,51.67
SDN,Sudan,151.16
TCA,Turks and Caicos Islands,686.21
TCD,Chad,264.95
TGO,Togo,1200.56
AUS,Australia,554.84
AUT,Austria,1196.15
AZE,Azerbaijan,475.77
BDI,Burundi,1921.68
KWT,Kuwait,115.73
LAO,Lao PDR,2057.21
LBN,Lebanon,488.62
LBR,Liberia,2385.04
ESP,Spain,641.7
EST,Estonia,680.39
ETH,Ethiopia,783.28
THA,Thailand,1858.35
TJK,Tajikistan,734.45
TKL,Tokelau (NZ),1644.36
TKM,Turkmenistan,134.45
MLI,Mali,245.42
MLT,Malta,291.2
MMR,Myanmar,2111.4
MNE,Montenegro,1628.09
MNG,Mongolia,211.37
MNP,Northern Mariana Islands,1999.3
MOZ,Mozambique,1018.98
GIB,Gibraltar,599.16
GIN,Guinea,1713.34
WLD,World,1062.82
GLP,Guadeloupe,1038.78
PYF,French Polynesia,1430.76
DMA,Dominica,1093.94
DNK,Denmark,791.13
DOM,Dominican Republic,940.96
MDV,Maldives,1743.42
MEX,Mexico,791.25
MHL,Marshall Islands,2990.51
MKD,North Macedonia,741.65
MWI,Malawi,1650.93
MYS,Malaysia,3443.68
NAM,Namibia,315.05
NCL,New Caledonia,2440.18
HND,Honduras,1822.07
HRV,Croatia,946.15
HTI,Haiti,765.17
HUN,Hungary,596.57
ZMB,Zambia,1299.88
ZWE,Zimbabwe,776.28
ABW,Aruba,817.85
AFG,Afghanistan,321.1
NPL,Nepal,2102.09
NRU,Nauru,397.93
NZL,New Zealand,1729.69
