Country_Code,Country_Name,Value
IRL,Ireland,10.5
IRN,"Iran, Islamic Rep.",19.58
IRQ,Iraq,24.0
KWT,Kuwait,27.2
ROU,Romania,10.96
RUS,Russian Federation,-2.45
RWA,Rwanda,19.93
BGD,Bangladesh,25.8
BGR,Bulgaria,12.21
BHR,Bahrain,26.69
ARE,United Arab Emirates,28.9
ARG,Argentina,14.78
ARM,Armenia,7.53
ECU,Ecuador,20.87
EGY,"Egypt, Arab Rep.",22.96
ERI,Eritrea,27.23
USA,United States,9.98
UZB,Uzbekistan,14.39
VAT,Holy See (Vatican City State),17.25
VCT,St. Vincent and the Grenadines,26.37
PAK,Pakistan,21.38
PAN,Panama,24.87
PCN,Pitcairn,23.1
PER,Peru,18.85
KAZ,Kazakhstan,7.87
KEN,Kenya,25.71
KGZ,Kyrgyz Republic,1.56
KHM,Cambodia,27.32
SAU,Saudi Arabia,26.88
SDN,Sudan,27.19
SEN,Senegal,28.83
TCD,Chad,27.17
TGO,Togo,27.02
THA,Thailand,26.39
AUT,Austria,8.15
AZE,Azerbaijan,13.1
BDI,Burundi,20.92
LAO,Lao PDR,23.32
LBN,Lebanon,15.98
LBR,Liberia,25.52
ESP,Spain,15.49
EST,Estonia,6.96
ETH,Ethiopia,23.98
FIN,Finland,3.71
TJK,Tajikistan,1.69
TKL,Tokelau (NZ),27.04
TKM,Turkmenistan,17.69
TLS,Timor-Leste,24.94
MLT,Malta,20.21
MMR,Myanmar,23.92
MNE,Montenegro,10.65
MNG,Mongolia,1.68
MNP,Northern Mariana Islands,27.25
MOZ,Mozambique,24.06
MRT,Mauritania,28.11
GIN,Guinea,26.23
WLD,World,14.68
GLP,Guadeloupe,25.91
GMB,"Gambia, The",27.92
QAT,Qatar,28.3
DNK,Denmark,9.72
DOM,Dominican Republic,24.38
DZA,Algeria,24.72
MEX,Mexico,20.98
MHL,Marshall Islands,26.94
MKD,North Macedonia,11.88
MLI,Mali,28.92
MYS,Malaysia,25.65
NAM,Namibia,21.55
NCL,New Caledonia,23.5
NER,Niger,27.39
HRV,Croatia,13.41
HTI,Haiti,25.38
HUN,Hungary,12.43
IDN,Indonesia,25.45
ZWE,Zimbabwe,21.59
ABW,Aruba,26.75
AFG,Afghanistan,13.74
AGO,Angola,22.3
